产品简称,return2013,成立日期,投资顾问,投资经理
银帆2期,14.79,2011/8/31,银帆投资,--
金狮141号,14.78,2011/7/22,--,--
瑞天价值成长,14.75,2008/7/7,瑞天投资,李鹏
光大集结号混合型一..,14.75,2010/1/28,光大证券资产,谢锋 聂昕 卓致勤
金中和西鼎,14.74,2007/7/27,金中和投资,曾军
金中和1期,14.65,2010/6/4,金中和投资,刘国平
朱雀7期,14.63,2009/5/18,朱雀投资,梁跃军
宏利2期,14.49,2008/6/2,龙赢富泽,童第轶
远策1期,14.44,2009/9/29,远策投资,张益驰
远策2期,14.38,2009/9/29,远策投资,张益驰
合赢2期,14.33,2010/9/27,盈峰资本,张冰
翼虎成长2期,14.17,2010/11/19,翼虎投资,余定恒
金诚一号,14.16,2011/9/26,--,--
东海精选5号,14.14,2011/8/19,东海证券,朱玺 杨欣 陈敏 梁游
呈瑞1期,14.13,2010/10/25,呈瑞投资,沈守传
华信1号(2),14.11,2011/12/20,尊嘉资产,宋炳山 陈明亮
智博方略快乐人生1..,14.01,2008/3/21,智博方略,白洁
明华新兴成长,14,2011/2/15,明华信德,陈明贤
至尊26号,13.96,2011/12/5,汇利资产,何震
财富成长01期,13.93,2010/7/29,财富成长,唐雪来 丁昌 李映东
铭远巴克莱,13.85,2008/8/21,铭远投资,韩跃峰
鼎诺风险缓冲2期,13.68,2012/1/19,鼎诺投资,黄弢
大朴进取1期,13.58,2012/6/8,大朴资产,--
远策5期,13.55,2010/2/10,远策投资,张益驰
武当稳健增长,13.5,2010/11/16,武当资产,田荣华
鼎诺风险缓冲1期,13.46,2011/6/13,鼎诺投资,黄弢
翼虎成长1期,13.44,2008/3/20,翼虎投资,余定恒
朱雀8期,13.39,2009/6/1,朱雀投资,陈秋冬
远策3期,13.28,2009/10/20,远策投资,张益驰
汇富3号(远策),13.24,2010/7/21,远策投资,张益驰
远策6期,13.22,2010/1/18,远策投资,张益驰
斯达克成长一期,13.16,2010/11/1,斯达克,李文辉 张建宇
嘉禾1号,13.11,2010/9/25,琪润投资,洪涛
中国龙进取,13.08,2004/6/15,涌峰投资,李莉芳
金中和东升,12.94,2010/12/8,金中和投资,刘国平
中睿吉祥管家10期,12.76,2011/1/21,中睿合银,刘睿
投资精英之展博A,12.56,2011/9/28,展博投资,陈锋
睿信成长1期,12.56,2010/1/8,睿信投资,李振宁
金泰瑞丰(乾清),12.53,2010/10/12,中金公司,史琳
融兴进取2号,12.52,2010/10/20,金汇海,--
彩瑞五期,12.51,2011/7/29,彩瑞投资,--
朱雀15期,12.44,2010/2/9,朱雀投资,梁跃军
鸿道1期,12.38,2010/4/8,鸿道投资,孙建冬
天马成长,12.35,2010/12/1,天马资产,康晓阳
智信创富1期,12.34,2011/3/15,智信创富,高锦洪
远策7期,12.33,2010/6/10,远策投资,张益驰
新嘉诚1期,12.33,2011/7/4,--,--
尊岳进取2号,12.24,2012/10/15,山东信托,--
武当14期,12.21,2009/11/17,武当资产,田荣华
盛世1期,12.18,2012/11/20,--,--
金狮142号,12.18,2011/7/22,--,--
鼎诺风险缓冲4期,12.05,2012/7/16,鼎诺投资,黄弢
合德丰泰,12.03,2008/3/15,合德丰泰,王宇
理成风景3号,12.03,2011/10/10,理成资产,杨玉山 田晓军
从容医疗2期,11.93,2010/10/11,从容投资,吕俊
鸿道精英1号,11.87,2010/8/9,鸿道投资,--
智信创富2期,11.81,2011/9/19,智信创富,高锦洪
万利富达,11.8,2007/3/20,万利富达投资,胡伟涛
混沌2号,11.74,2009/6/22,混沌投资,王歆
富民1期,11.67,2011/3/3,君创富民,童学军
谦石1期,11.63,2011/6/1,谦石投资,李追阳
